iter	Passed	Remaining
0	142	142738
1	146	72985
2	148	49347
3	150	37520
4	152	30280
5	153	25421
6	156	22196
7	158	19697
8	160	17663
9	161	16006
10	162	14641
11	164	13504
12	165	12541
13	166	11744
14	169	11099
15	170	10501
16	172	9985
17	173	9486
18	175	9067
19	177	8683
20	178	8326
21	180	8008
22	183	7779
23	187	7645
24	191	7475
25	203	7616
26	206	7428
27	209	7268
28	212	7123
29	219	7085
30	221	6913
31	223	6768
32	226	6634
33	228	6484
34	230	6343
35	232	6213
36	233	6071
37	235	5965
38	236	5836
39	238	5712
40	239	5592
41	240	5482
42	242	5392
43	245	5343
44	247	5247
45	248	5150
46	249	5056
47	250	4969
48	251	4886
49	252	4803
50	253	4724
51	255	4660
52	257	4603
53	261	4584
54	266	4574
55	270	4556
56	272	4509
57	274	4466
58	277	4424
59	279	4378
60	281	4325
61	282	4276
62	284	4230
63	287	4209
64	290	4171
65	291	4126
66	294	4097
67	302	4145
68	304	4112
69	307	4082
70	308	4040
71	312	4028
72	313	3984
73	319	3997
74	322	3971
75	325	3958
76	326	3917
77	327	3876
78	331	3863
79	338	3896
80	343	3891
81	348	3905
82	350	3873
83	353	3855
84	355	3828
85	362	3857
86	365	3833
87	366	3801
88	368	3773
89	370	3743
90	372	3716
91	373	3686
92	375	3664
93	377	3641
94	379	3617
95	381	3592
96	386	3595
97	390	3598
98	393	3584
99	397	3575
100	399	3555
101	401	3533
102	403	3513
103	405	3491
104	409	3491
105	411	3471
106	413	3448
107	414	3424
108	415	3399
109	417	3374
110	419	3361
111	421	3339
112	425	3340
113	427	3320
114	428	3300
115	432	3295
116	434	3279
117	438	3277
118	440	3262
119	442	3243
120	445	3234
121	446	3211
122	449	3201
123	452	3198
124	462	3240
125	469	3256
126	471	3244
127	473	3228
128	475	3213
129	478	3203
130	482	3197
131	486	3198
132	487	3180
133	489	3162
134	490	3145
135	492	3126
136	493	3109
137	496	3101
138	499	3095
139	501	3080
140	503	3065
141	503	3045
142	505	3031
143	512	3047
144	516	3045
145	518	3034
146	520	3023
147	524	3016
148	530	3032
149	532	3020
150	534	3006
151	536	2995
152	538	2980
153	546	3002
154	548	2990
155	554	2997
156	560	3009
157	564	3008
158	568	3008
159	572	3003
160	575	3000
161	578	2991
162	580	2978
163	581	2965
164	584	2957
165	586	2947
166	597	2978
167	598	2963
168	604	2972
169	606	2962
170	608	2948
171	609	2936
172	611	2922
173	612	2908
174	618	2917
175	625	2928
176	628	2921
177	633	2924
178	636	2918
179	638	2908
180	640	2899
181	642	2887
182	647	2891
183	651	2891
184	653	2878
185	655	2867
186	658	2861
187	660	2851
188	661	2839
189	665	2838
190	667	2829
191	670	2823
192	673	2814
193	677	2812
194	678	2801
195	680	2791
196	683	2786
197	684	2774
198	686	2764
199	688	2752
200	689	2742
201	691	2730
202	694	2727
203	696	2716
204	698	2707
205	699	2695
206	700	2683
207	701	2671
208	702	2659
209	703	2648
210	706	2641
211	711	2644
212	716	2648
213	731	2687
214	734	2680
215	737	2678
216	740	2673
217	743	2665
218	744	2656
219	746	2647
220	748	2638
221	751	2635
222	756	2636
223	760	2632
224	769	2650
225	774	2650
226	777	2646
227	783	2653
228	787	2651
229	790	2645
230	792	2636
231	794	2628
232	795	2618
233	797	2610
234	799	2603
235	802	2599
236	804	2588
237	805	2580
238	809	2577
239	816	2584
240	819	2580
241	822	2574
242	823	2565
243	824	2555
244	827	2549
245	829	2542
246	831	2535
247	833	2527
248	835	2518
249	836	2508
250	837	2498
251	838	2489
252	839	2479
253	841	2471
254	854	2495
255	860	2500
256	864	2497
257	866	2492
258	868	2485
259	872	2483
260	876	2481
261	879	2477
262	881	2469
263	883	2462
264	884	2454
265	885	2444
266	888	2439
267	890	2432
268	894	2430
269	899	2430
270	909	2446
271	913	2444
272	916	2439
273	920	2438
274	923	2434
275	926	2430
276	928	2422
277	929	2415
278	931	2406
279	934	2404
280	936	2397
281	939	2391
282	941	2385
283	942	2376
284	943	2367
285	944	2358
286	946	2350
287	947	2343
288	952	2342
289	961	2355
290	973	2370
291	976	2366
292	978	2360
293	981	2357
294	983	2350
295	986	2346
296	988	2339
297	990	2332
298	991	2325
299	993	2317
300	996	2313
301	998	2308
302	1001	2303
303	1002	2295
304	1003	2287
305	1004	2279
306	1005	2270
307	1007	2262
308	1008	2254
309	1015	2260
310	1017	2255
311	1019	2247
312	1020	2239
313	1021	2231
314	1022	2223
315	1023	2215
316	1026	2212
317	1029	2207
318	1031	2202
319	1033	2195
320	1034	2188
321	1035	2180
322	1036	2173
323	1038	2165
324	1043	2166
325	1045	2161
326	1051	2164
327	1061	2174
328	1064	2171
329	1066	2165
330	1069	2160
331	1074	2161
332	1078	2160
333	1080	2154
334	1082	2148
335	1083	2141
336	1086	2137
337	1088	2132
338	1090	2127
339	1092	2120
340	1093	2113
341	1094	2106
342	1095	2099
343	1097	2092
344	1100	2089
345	1104	2087
346	1107	2083
347	1115	2089
348	1124	2096
349	1127	2093
350	1133	2095
351	1136	2092
352	1141	2091
353	1143	2086
354	1144	2079
355	1148	2076
356	1150	2071
357	1152	2067
358	1154	2060
359	1155	2053
360	1156	2047
361	1157	2040
362	1158	2033
363	1163	2032
364	1169	2035
365	1173	2033
366	1179	2035
367	1184	2033
368	1186	2029
369	1188	2023
370	1190	2018
371	1194	2017
372	1197	2012
373	1199	2007
374	1201	2001
375	1202	1995
376	1203	1989
377	1204	1982
378	1205	1976
379	1208	1972
380	1211	1969
381	1215	1966
382	1216	1959
383	1217	1953
384	1219	1947
385	1220	1941
386	1228	1946
387	1229	1939
388	1232	1936
389	1234	1930
390	1235	1924
391	1236	1918
392	1241	1918
393	1247	1919
394	1255	1923
395	1260	1922
396	1262	1918
397	1265	1914
398	1270	1913
399	1274	1911
400	1279	1911
401	1281	1905
402	1290	1911
403	1305	1925
404	1314	1931
405	1317	1927
406	1319	1923
407	1322	1919
408	1324	1913
409	1326	1909
